source_class	missing_rate	n	piawka_pi_minus_theta_w_mean	pixy_pi_minus_theta_w_mean	piawka_pi_minus_theta_low_mean
bneck	0.0	64	-0.1226142359375	-0.12261756349520017	-0.0267418671875
bneck	0.05	64	-0.1210465890625	-0.12105214868121068	-0.026385684375
bneck	0.1	64	-0.1193830828125	-0.11939112271574459	-0.026399275
bneck	0.2	64	-0.1156735046875	-0.11568525008639283	-0.026439428124999997
bneck	0.4	64	-0.1062852203125	-0.10630217178086711	-0.026550607812499998
onepop	0.0	64	-0.0045165781249999985	-0.004787717657439908	-0.005047031249999998
onepop	0.05	64	-0.004476296874999999	-0.004756866312203486	-0.00414496875
onepop	0.1	64	-0.004449906249999999	-0.0047401960755265714	-0.00409028125
onepop	0.2	64	-0.0043569375	-0.0046738329896195766	-0.003947890625000002
onepop	0.4	64	-0.00414303125	-0.004547293057243346	-0.003595968750000001
