sample_id	source_class	missing_rate	piawka_pi	pixy_pi	piawka_theta_w	pixy_theta_w	piawka_theta_low	piawka_pi_minus_theta_w	pixy_pi_minus_theta_w	piawka_pi_minus_theta_low	piawka_theta_w_rel_to_nomiss	pixy_theta_w_rel_to_nomiss	piawka_pi_minus_theta_w_rel_to_nomiss	pixy_pi_minus_theta_w_rel_to_nomiss	piawka_pi_minus_theta_low_rel_to_nomiss
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	bneck	0.0	0.0470613	0.0470612777058207	0.170265	0.1702698332144599	0.0735462	-0.1232037	-0.12320855550863921	-0.026484900000000006	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	bneck	0.0	0.0479623	0.0479622553316784	0.170268	0.1702698332144599	0.0754982	-0.1223057	-0.1223075778827815	-0.027535900000000002	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	bneck	0.0	0.0480394	0.0480394350201654	0.170263	0.1702698332144599	0.0757713	-0.12222359999999999	-0.1222303981942945	-0.027731899999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	bneck	0.0	0.0457295	0.0457294712589731	0.170269	0.1702698332144599	0.0720598	-0.1245395	-0.1245403619554868	-0.026330299999999994	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	bneck	0.0	0.0490178	0.0490178146985486	0.170263	0.17026983321446	0.0765276	-0.1212452	-0.12125201851591139	-0.0275098	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	bneck	0.0	0.0480256	0.0480257437352688	0.170267	0.1702698332144599	0.0745138	-0.1222414	-0.1222440894791911	-0.026488200000000003	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	bneck	0.0	0.0472559	0.0472558713788588	0.170267	0.17026983321446	0.0738886	-0.1230111	-0.12301396183560118	-0.026632699999999995	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	bneck	0.0	0.0471601	0.0471601038049787	0.170269	0.1702698332144599	0.0744332	-0.1231089	-0.1231097294094812	-0.0272731	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	bneck	0.0	0.0465973	0.0465972761383584	0.170269	0.1702698332144599	0.0727839	-0.1236717	-0.1236725570761015	-0.026186599999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep2	bneck	0.0	0.046217	0.0462170401084753	0.170257	0.1702698332144599	0.0721233	-0.12403999999999998	-0.1240527931059846	-0.0259063	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	bneck	0.0	0.0497453	0.0497453352017918	0.17027	0.1702698332144599	0.0766406	-0.12052470000000001	-0.1205244980126681	-0.026895300000000004	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	bneck	0.0	0.0458706	0.045870672271084	0.170269	0.1702698332144599	0.0721332	-0.1243984	-0.12439916094337591	-0.026262599999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep3	bneck	0.0	0.0468586	0.0468585241199934	0.170266	0.1702698332144599	0.0730051	-0.1234074	-0.1234113090944665	-0.026146500000000003	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep45	bneck	0.0	0.0482179	0.0482178975647773	0.17027	0.1702698332144599	0.0749107	-0.1220521	-0.12205193564968261	-0.026692799999999996	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep46	bneck	0.0	0.0477413	0.0477412857977238	0.17026	0.1702698332144599	0.0750197	-0.1225187	-0.1225285474167361	-0.027278399999999994	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep47	bneck	0.0	0.0466285	0.0466285184588844	0.170267	0.1702698332144599	0.0731305	-0.1236385	-0.1236413147555755	-0.026501999999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep48	bneck	0.0	0.0478851	0.0478850696955852	0.170268	0.1702698332144599	0.0754411	-0.1223829	-0.1223847635188747	-0.027555999999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep49	bneck	0.0	0.0472634	0.0472634179224069	0.170268	0.1702698332144599	0.0739034	-0.1230046	-0.123006415292053	-0.026639999999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep50	bneck	0.0	0.0485322	0.0485321719789242	0.170263	0.1702698332144599	0.0760748	-0.1217308	-0.1217376612355357	-0.0275426	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep51	bneck	0.0	0.0494603	0.0494602907751858	0.170266	0.1702698332144599	0.0773021	-0.1208057	-0.12080954243927411	-0.0278418	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep52	bneck	0.0	0.0470261	0.0470260817435518	0.170269	0.1702698332144599	0.0739878	-0.1232429	-0.1232437514709081	-0.026961700000000005	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep53	bneck	0.0	0.0487455	0.0487455152399552	0.170268	0.1702698332144599	0.0748523	-0.1215225	-0.1215243179745047	-0.0261068	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep54	bneck	0.0	0.0484447	0.0484447615308666	0.170261	0.1702698332144599	0.0739596	-0.12181629999999999	-0.1218250716835933	-0.0255149	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep55	bneck	0.0	0.0469143	0.0469141562344668	0.170266	0.1702698332144599	0.0731968	-0.12335170000000001	-0.12335567697999311	-0.026282500000000007	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep56	bneck	0.0	0.0482774	0.0482773514986716	0.170263	0.1702698332144599	0.0754478	-0.1219856	-0.1219924817157883	-0.027170399999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep57	bneck	0.0	0.0477222	0.0477222451910888	0.170269	0.17026983321446	0.0747774	-0.12254680000000001	-0.12254758802337118	-0.027055199999999995	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep58	bneck	0.0	0.0474219	0.0474219063666484	0.170269	0.17026983321446	0.0738225	-0.1228471	-0.1228479268478116	-0.026400599999999996	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep59	bneck	0.0	0.0476007	0.0476006992805588	0.170268	0.1702698332144599	0.074075	-0.1226673	-0.12266913393390111	-0.0264743	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep6	bneck	0.0	0.0473565	0.0473544528666296	0.17027	0.17026983321446	0.0743245	-0.12291350000000001	-0.1229153803478304	-0.026968	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep60	bneck	0.0	0.0481335	0.0481329334956428	0.170268	0.1702698332144599	0.075336	-0.12213450000000001	-0.12213689971881711	-0.027202499999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep61	bneck	0.0	0.047809	0.0478090075999611	0.17027	0.1702698332144599	0.07455	-0.12246100000000001	-0.12246082561449881	-0.026741000000000008	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep62	bneck	0.0	0.0466827	0.0466826515300166	0.170268	0.1702698332144599	0.0725393	-0.12358530000000001	-0.1235871816844433	-0.0258566	1.0	1.0	1.0	1.0	1.0
