group	tool	fold_id	fold_mean_pi
Scandinavia	piawka	1	0.00840651090909091
Scandinavia	pixy	1	0.004227965442971075
Scandinavia	piawka	2	0.008395442222222223
Scandinavia	pixy	2	0.004239321541238159
Scandinavia	piawka	3	0.008400338686868687
Scandinavia	pixy	3	0.004229927628263321
Scandinavia	piawka	4	0.008386853232323233
Scandinavia	pixy	4	0.004234065843956624
Scandinavia	piawka	5	0.008434010606060607
Scandinavia	pixy	5	0.0042513861645747655
Scandinavia	piawka	6	0.008371940101010101
Scandinavia	pixy	6	0.0042323593753818434
Scandinavia	piawka	7	0.008407693737373738
Scandinavia	pixy	7	0.004242096620450265
Scandinavia	piawka	8	0.008385400606060606
Scandinavia	pixy	8	0.004223283190315392
Scandinavia	piawka	9	0.008348819898989899
Scandinavia	pixy	9	0.004196018231587758
Scandinavia	piawka	10	0.008407258585858586
Scandinavia	pixy	10	0.004241331681345371
Scandinavia	piawka	11	0.008374921515151516
Scandinavia	pixy	11	0.00422877318445389
Scandinavia	piawka	12	0.008363083838383838
Scandinavia	pixy	12	0.004219369549138415
Scandinavia	piawka	13	0.008270382525252525
Scandinavia	pixy	13	0.004156505825830366
Scandinavia	piawka	14	0.008278412828282828
Scandinavia	pixy	14	0.004183214251789432
Scandinavia	piawka	15	0.008331259292929293
Scandinavia	pixy	15	0.004214986847717576
Scandinavia	piawka	16	0.00825232494949495
Scandinavia	pixy	16	0.004151839728308045
Scandinavia	piawka	17	0.008359509797979798
Scandinavia	pixy	17	0.004204870485862359
Scandinavia	piawka	18	0.008382125656565657
Scandinavia	pixy	18	0.004237293609567739
Scandinavia	piawka	19	0.008416015151515152
Scandinavia	pixy	19	0.004234297560325787
Scandinavia	piawka	20	0.008348866363636362
Scandinavia	pixy	20	0.004198279613148738
Scandinavia	piawka	21	0.008378563636363637
Scandinavia	pixy	21	0.004205788600898253
Scandinavia	piawka	22	0.008365620202020202
Scandinavia	pixy	22	0.004209288668947621
Scandinavia	piawka	23	0.008400195757575758
Scandinavia	pixy	23	0.0042378718723911505
Scandinavia	piawka	24	0.008362656464646465
Scandinavia	pixy	24	0.00420742074916874
Scandinavia	piawka	25	0.008395315151515152
Scandinavia	pixy	25	0.004235417768769729
Scandinavia	piawka	26	0.008401960909090908
Scandinavia	pixy	26	0.004235745239348344
Scandinavia	piawka	27	0.008362830909090908
Scandinavia	pixy	27	0.0042182753364595925
Scandinavia	piawka	28	0.008415818888888888
Scandinavia	pixy	28	0.004248081550159549
Scandinavia	piawka	29	0.008389091111111111
Scandinavia	pixy	29	0.0042277052460710125
Scandinavia	piawka	30	0.008377493434343434
Scandinavia	pixy	30	0.0042215303807501
Scandinavia	piawka	31	0.008290984545454546
Scandinavia	pixy	31	0.004177552601345719
Scandinavia	piawka	32	0.008387910505050505
Scandinavia	pixy	32	0.004225239194465963
Scandinavia	piawka	33	0.008417998282828283
Scandinavia	pixy	33	0.004235335231932326
Scandinavia	piawka	34	0.008388095656565656
Scandinavia	pixy	34	0.004228567457918279
Scandinavia	piawka	35	0.008414493737373737
Scandinavia	pixy	35	0.004243924374693782
Scandinavia	piawka	36	0.008412369191919192
Scandinavia	pixy	36	0.004243383134322331
Scandinavia	piawka	37	0.0084214098989899
Scandinavia	pixy	37	0.0042489774074662805
Scandinavia	piawka	38	0.008416914242424241
Scandinavia	pixy	38	0.004248149150426816
Scandinavia	piawka	39	0.00842390101010101
Scandinavia	pixy	39	0.0042431505497056285
Scandinavia	piawka	40	0.008394864242424242
Scandinavia	pixy	40	0.004213983952001566
Scandinavia	piawka	41	0.008433454545454546
Scandinavia	pixy	41	0.004255599276760679
Scandinavia	piawka	42	0.008407867474747475
Scandinavia	pixy	42	0.0042381684167733125
Scandinavia	piawka	43	0.00840974404040404
Scandinavia	pixy	43	0.00424518779272038
Scandinavia	piawka	44	0.00839427
Scandinavia	pixy	44	0.0042444040397881305
Scandinavia	piawka	45	0.008429420606060606
Scandinavia	pixy	45	0.004251030899513294
Scandinavia	piawka	46	0.008416166060606061
Scandinavia	pixy	46	0.00424737211718707
Scandinavia	piawka	47	0.008404237171717172
Scandinavia	pixy	47	0.004229734516312769
Scandinavia	piawka	48	0.008388663434343434
Scandinavia	pixy	48	0.004225497969343853
Scandinavia	piawka	49	0.008351915858585858
Scandinavia	pixy	49	0.004199628557549462
Scandinavia	piawka	50	0.008411880505050505
Scandinavia	pixy	50	0.00423884952168885
Scandinavia	piawka	51	0.008385521212121211
Scandinavia	pixy	51	0.00423642620453278
Scandinavia	piawka	52	0.008428797676767677
Scandinavia	pixy	52	0.0042529280863723975
Scandinavia	piawka	53	0.008404232121212121
Scandinavia	pixy	53	0.004245996141034451
Scandinavia	piawka	54	0.008391368181818182
Scandinavia	pixy	54	0.004225605704059388
Scandinavia	piawka	55	0.008405023939393939
Scandinavia	pixy	55	0.004238743028041255
Scandinavia	piawka	56	0.00836673797979798
Scandinavia	pixy	56	0.004201983970488202
Scandinavia	piawka	57	0.008175671414141415
Scandinavia	pixy	57	0.004138419958577711
Scandinavia	piawka	58	0.008437484545454545
Scandinavia	pixy	58	0.0042562283195429285
Scandinavia	piawka	59	0.008318342121212121
Scandinavia	pixy	59	0.00418720298675717
Scandinavia	piawka	60	0.008422219191919192
Scandinavia	pixy	60	0.004244936201333701
Scandinavia	piawka	61	0.008375163636363637
Scandinavia	pixy	61	0.004223538586160368
Scandinavia	piawka	62	0.008300718888888888
Scandinavia	pixy	62	0.004199947924027195
Scandinavia	piawka	63	0.008352051212121212
Scandinavia	pixy	63	0.004210278142477007
Scandinavia	piawka	64	0.008373461212121212
Scandinavia	pixy	64	0.004227454933437748
Scandinavia	piawka	65	0.008374301212121212
Scandinavia	pixy	65	0.004225453322177572
Scandinavia	piawka	66	0.008359349191919193
Scandinavia	pixy	66	0.004202716928636427
Scandinavia	piawka	67	0.008381716868686868
Scandinavia	pixy	67	0.004228918651148545
Scandinavia	piawka	68	0.00840701797979798
Scandinavia	pixy	68	0.004240596732874187
Scandinavia	piawka	69	0.008417693030303031
Scandinavia	pixy	69	0.004241941006630465
Scandinavia	piawka	70	0.008378591515151515
Scandinavia	pixy	70	0.004228099819310793
Scandinavia	piawka	71	0.008405110808080807
Scandinavia	pixy	71	0.004239095690577613
Scandinavia	piawka	72	0.008446406262626263
Scandinavia	pixy	72	0.00425908010409308
Scandinavia	piawka	73	0.008411275656565657
Scandinavia	pixy	73	0.004241236144609516
Scandinavia	piawka	74	0.008385702828282828
Scandinavia	pixy	74	0.004236558697890991
Scandinavia	piawka	75	0.008368494343434342
Scandinavia	pixy	75	0.004224853031324558
Scandinavia	piawka	76	0.008371697878787878
Scandinavia	pixy	76	0.004229648392417901
Scandinavia	piawka	77	0.008363294141414141
Scandinavia	pixy	77	0.0042187617683179714
Scandinavia	piawka	78	0.008420936161616162
Scandinavia	pixy	78	0.0042456986685899725
Scandinavia	piawka	79	0.008375146767676768
Scandinavia	pixy	79	0.0042306364002896776
Scandinavia	piawka	80	0.008386231616161616
Scandinavia	pixy	80	0.004227415132325453
Scandinavia	piawka	81	0.008408684747474748
Scandinavia	pixy	81	0.004245473156951202
Scandinavia	piawka	82	0.008331339090909091
Scandinavia	pixy	82	0.004188446322929352
Scandinavia	piawka	83	0.008408362222222222
Scandinavia	pixy	83	0.0042361463548988895
Scandinavia	piawka	84	0.008287559292929292
Scandinavia	pixy	84	0.0041883659432891285
Scandinavia	piawka	85	0.008421219494949495
Scandinavia	pixy	85	0.004248227823272289
Scandinavia	piawka	86	0.008406092222222222
Scandinavia	pixy	86	0.004236979528141581
Scandinavia	piawka	87	0.008352692626262625
Scandinavia	pixy	87	0.004205963237440338
Scandinavia	piawka	88	0.008374876161616161
Scandinavia	pixy	88	0.004218318900862748
Scandinavia	piawka	89	0.008370163232323232
Scandinavia	pixy	89	0.0042167984177662
Scandinavia	piawka	90	0.00834752595959596
Scandinavia	pixy	90	0.00421918573786269
Scandinavia	piawka	91	0.00837807212121212
Scandinavia	pixy	91	0.004200266213549098
Scandinavia	piawka	92	0.008390965555555555
Scandinavia	pixy	92	0.004226908477261821
Scandinavia	piawka	93	0.00840459898989899
Scandinavia	pixy	93	0.004233565969660753
Scandinavia	piawka	94	0.008346261313131313
Scandinavia	pixy	94	0.004204881379645615
Scandinavia	piawka	95	0.008253592626262626
Scandinavia	pixy	95	0.004150936046291215
Scandinavia	piawka	96	0.00829422191919192
Scandinavia	pixy	96	0.0041918422374125795
Scandinavia	piawka	97	0.008352554242424242
Scandinavia	pixy	97	0.0042190066313999445
Scandinavia	piawka	98	0.008420090101010101
Scandinavia	pixy	98	0.004246755750918459
Scandinavia	piawka	99	0.00839478909090909
Scandinavia	pixy	99	0.0042358339415374075
Scandinavia	piawka	100	0.008303971414141414
Scandinavia	pixy	100	0.004187611378437257
MIX Sibiryakov Island	piawka	1	0.006571758282828283
MIX Sibiryakov Island	pixy	1	0.003270601074902298
MIX Sibiryakov Island	piawka	2	0.00656317393939394
MIX Sibiryakov Island	pixy	2	0.003275479329694946
MIX Sibiryakov Island	piawka	3	0.006577181818181818
MIX Sibiryakov Island	pixy	3	0.0032723326589481744
MIX Sibiryakov Island	piawka	4	0.00657066292929293
MIX Sibiryakov Island	pixy	4	0.0032719478513360068
MIX Sibiryakov Island	piawka	5	0.0065888892929292925
MIX Sibiryakov Island	pixy	5	0.0032877194129877795
MIX Sibiryakov Island	piawka	6	0.006571048585858586
MIX Sibiryakov Island	pixy	6	0.0032785970919779134
MIX Sibiryakov Island	piawka	7	0.006558493232323232
MIX Sibiryakov Island	pixy	7	0.003269662443498923
MIX Sibiryakov Island	piawka	8	0.006551244646464646
MIX Sibiryakov Island	pixy	8	0.0032599980071865405
MIX Sibiryakov Island	piawka	9	0.006518058888888889
MIX Sibiryakov Island	pixy	9	0.0032344719268945373
MIX Sibiryakov Island	piawka	10	0.006586918383838384
MIX Sibiryakov Island	pixy	10	0.0032811485588940827
