group	tool	n_folds	mean_of_folds	sd_of_folds
Scandinavia	piawka	100	0.0083782467	4.548244506347588e-05
Scandinavia	pixy	100	0.004223899620786931	2.3950053295338062e-05
MIX Sibiryakov Island	piawka	100	0.006549587	3.896254279908258e-05
MIX Sibiryakov Island	pixy	100	0.0032652497807851484	2.1669201665460964e-05
MIX Central Siberia	piawka	100	0.0072330315	3.739469961837682e-05
MIX Central Siberia	pixy	100	0.002530460209914403	1.461645720066133e-05
Central Europe	piawka	100	0.0110770569	3.372802372361075e-05
Central Europe	pixy	100	0.0042028987775399665	2.0874655039374993e-05
Siberia SC	piawka	100	0.00082283208	9.376635461279578e-06
Siberia SC	pixy	100	0.000400769180437855	4.7842610573992885e-06
East Siberia	piawka	100	0.0065798232	4.092904535301238e-05
East Siberia	pixy	100	0.003505897323251271	2.30389697283932e-05
admixed	piawka	100	0.008670851299999999	4.103412771218147e-05
admixed	pixy	100	0.0039634941142099	2.065448267677806e-05
MIX Amur Basin	piawka	100	0.0073851188	4.227339157207733e-05
MIX Amur Basin	pixy	100	0.003871490062194578	2.25855360010213e-05
Karelia	piawka	100	0.00421994935	3.193892500069762e-05
Karelia	pixy	100	0.002194763003275826	1.6904671062994628e-05
North America	piawka	100	0.0050621379	3.137721805924573e-05
North America	pixy	100	0.002827010749224229	1.8168472573826455e-05
Northern Ural	piawka	100	0.0075374657	3.143349736407923e-05
Northern Ural	pixy	100	0.00207434705564169	1.356125961179313e-05
West Siberia	piawka	100	0.0067264609	4.059387007448468e-05
West Siberia	pixy	100	0.0036505768648265003	2.2905053263499217e-05
