group	n	pixy_pi_mean	piawka_pi_mean	pi_gain_mean	sites_gain_mean	sites_gain_median	mean_mult_minus_bial	sites_gain_mean_mult
Central Europe	100	0.0042028987775399665	0.0110770569	0.006874158122460008	2843.69	2880.5	0.0018860626999999998	99.61
East Siberia	100	0.003505897323251271	0.0065798232	0.0030739258767487	4003.96	4104.0	0.0004628261999999996	18.73
Karelia	100	0.002194763003275826	0.00421994935	0.002025186346724135	4304.01	4417.0	6.712622999999977e-05	1.34
MIX Amur Basin	100	0.003871490062194578	0.0073851188	0.0035136287378053997	3926.12	4006.0	0.00018212429999999932	3.04
MIX Central Siberia	100	0.002530460209914403	0.0072330315	0.0047025712900855806	3925.85	4027.0	0.00040775190000000034	14.52
MIX Sibiryakov Island	100	0.0032652497807851484	0.006549587	0.0032843372192148217	4182.79	4277.5	8.811670000000073e-05	1.13
North America	100	0.002827010749224229	0.0050621379	0.002235127150775738	3845.48	3940.0	0.00039020049999999914	20.27
Northern Ural	100	0.00207434705564169	0.0075374657	0.005463118644358293	3735.81	3832.5	0.0005263550999999997	20.68
Scandinavia	100	0.004223899620786931	0.008378246700000001	0.004154347079213038	3920.75	4020.0	0.0004267505999999994	13.16
Siberia SC	100	0.000400769180437855	0.00082283208	0.0004220628995621241	4504.83	4565.5	2.4493400000000134e-06	0.05
West Siberia	100	0.0036505768648265003	0.0067264609	0.003075884035173474	4061.37	4125.5	0.0003337262000000004	11.58
admixed	100	0.0039634941142099	0.008670851299999999	0.004707357185790078	4199.02	4258.0	0.0003217317000000011	6.61
