sample_id	tool	threads	group_set_baseline	group_set_compare	elapsed_sec_full_groups	elapsed_sec_groups10	elapsed_ratio_groups10_over_full	max_rss_kb_full_groups	max_rss_kb_groups10	max_rss_ratio_groups10_over_full
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	piawka	1	syn_groups.tsv	syn_groups_10.tsv	19.03	4.393	0.2308460325801366	24000.0	24544.0	1.0226666666666666
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	pixy	1	syn_groups.tsv	syn_groups_10.tsv	4.947	5.203	1.0517485344653326	295520.0	301168.0	1.0191120736329182
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	piawka	1	syn_groups.tsv	syn_groups_10.tsv	19.039	4.114	0.21608277745679919	23968.0	24368.0	1.0166889185580774
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	pixy	1	syn_groups.tsv	syn_groups_10.tsv	5.19	4.646	0.8951830443159922	298528.0	295920.0	0.9912638010504877
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	piawka	1	syn_groups.tsv	syn_groups_10.tsv	21.807	4.152	0.19039757875911406	24576.0	23952.0	0.974609375
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	pixy	1	syn_groups.tsv	syn_groups_10.tsv	5.002	4.672	0.9340263894442223	294752.0	304080.0	1.031646943871458
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	piawka	1	syn_groups.tsv	syn_groups_10.tsv	19.651	4.374	0.22258409241259985	23296.0	24448.0	1.0494505494505495
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	pixy	1	syn_groups.tsv	syn_groups_10.tsv	4.979	4.856	0.9752962442257481	300144.0	306304.0	1.0205234820619435
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	piawka	1	syn_groups.tsv	syn_groups_10.tsv	18.182	4.127	0.22698273017269827	23456.0	24560.0	1.0470668485675307
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	pixy	1	syn_groups.tsv	syn_groups_10.tsv	4.734	4.419	0.9334600760456273	287696.0	294912.0	1.0250820310327569
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	piawka	1	syn_groups.tsv	syn_groups_10.tsv	18.947	4.343	0.22921834591228163	23360.0	24352.0	1.0424657534246575
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	pixy	1	syn_groups.tsv	syn_groups_10.tsv	4.978	4.613	0.9266773804740861	293232.0	302160.0	1.0304468816500245
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	piawka	1	syn_groups.tsv	syn_groups_10.tsv	18.933	4.36	0.2302857444673322	23472.0	24240.0	1.032719836400818
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	pixy	1	syn_groups.tsv	syn_groups_10.tsv	4.982	4.865	0.9765154556403051	294752.0	302416.0	1.0260015199218326
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	piawka	1	syn_groups.tsv	syn_groups_10.tsv	18.73	4.138	0.2209289909236519	23440.0	24576.0	1.0484641638225256
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	pixy	1	syn_groups.tsv	syn_groups_10.tsv	5.001	4.664	0.9326134773045389	297424.0	299376.0	1.0065630211415353
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	piawka	1	syn_groups.tsv	syn_groups_10.tsv	19.168	4.372	0.22808848080133556	23264.0	24384.0	1.0481430536451168
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	pixy	1	syn_groups.tsv	syn_groups_10.tsv	4.986	4.673	0.9372242278379463	295888.0	303712.0	1.026442437679122
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep2	piawka	1	syn_groups.tsv	syn_groups_10.tsv	19.235	4.357	0.22651416688328568	23456.0	24304.0	1.0361527967257844
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep2	pixy	1	syn_groups.tsv	syn_groups_10.tsv	5.027	4.879	0.9705589814999004	296736.0	311920.0	1.0511700636255796
