sample_id	run_id	threads	tool	elapsed_sec	cpu_total_sec	max_rss_kb	time_file
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	piawka	1	piawka	19.030	18.990	24000	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/piawka.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	piawka_t2	2	piawka	10.103	19.430	41600	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/piawka_t2.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	piawka_t4	4	piawka	5.460	19.730	76304	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/piawka_t4.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	piawka_t8	8	piawka	3.773	22.180	143424	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/piawka_t8.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	pixy	1	pixy	4.947	6.170	295520	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/pixy.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	pixy_t2	2	pixy	10.173	11.400	509088	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/pixy_t2.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	pixy_t4	4	pixy	5.428	13.460	837840	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/pixy_t4.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	pixy_t8	8	pixy	4.515	18.120	1382208	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0/pixy_t8.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	piawka	1	piawka	19.039	18.740	23968	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1/piawka.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	piawka_t2	2	piawka	10.301	19.270	42064	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1/piawka_t2.time.tsv
