sample_id	chromosome	window_pos_1	window_pos_2	group	bial_pi	mult_pi	bial_sites	mult_sites	sites_gained_mult_vs_bial	pixy_pi	pixy_sites	expected_mult_pi	abs_diff_bial	abs_diff_expected
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	1	0	10000000	POP1	0.0470613	0.0474103	220551.0	222206.0	1655.0	0.0470612777058207	220551.0	0.047200273020219514	0.0003490000000000021	0.00021002697978048795
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	1	0	10000000	POP1	0.0479623	0.0482872	215703.0	217290.0	1587.0	0.0479622553316784	215703.0	0.048109408829616236	0.00032490000000000296	0.00017779117038376618
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	1	0	10000000	POP1	0.0480394	0.0483884	212424.0	213994.0	1570.0	0.0480394350201654	212424.0	0.048187219408534675	0.00034899999999999515	0.00020118059146532336
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	1	0	10000000	POP1	0.0457295	0.0460531	226301.0	228060.0	1759.0	0.0457294712589731	226301.0	0.04585700525826926	0.0003236000000000003	0.00019609474173074015
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	1	0	10000000	POP1	0.0490178	0.0493731	212421.0	213973.0	1552.0	0.0490178146985486	212421.0	0.04917483634664149	0.00035530000000000284	0.00019826365335851026
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	1	0	10000000	POP1	0.0480256	0.0483416	219678.0	221320.0	1642.0	0.0480257437352688	219677.0	0.04817329205545149	0.00031599999999999684	0.00016830794454850834
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	1	0	10000000	POP1	0.0472559	0.0475945	220355.0	222042.0	1687.0	0.0472558713788588	220355.0	0.047396604132554365	0.00033859999999999446	0.0001978958674456327
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	1	0	10000000	POP1	0.0471601	0.0475016	219997.0	221658.0	1661.0	0.0471601038049787	219997.0	0.04729995013455613	0.0003414999999999946	0.00020164986544386754
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	1	0	10000000	POP1	0.0465973	0.0469128	222586.0	224194.0	1608.0	0.0465972761383584	222586.0	0.046732202809844164	0.00031549999999999634	0.00018059719015583314
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep2	1	0	10000000	POP1	0.046217	0.0465553	223587.0	225272.0	1685.0	0.0462170401084753	223587.0	0.046348626699333755	0.0003382999999999997	0.00020667330066624634
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	1	0	10000000	POP1	0.0497453	0.0500377	215511.0	217069.0	1558.0	0.0497453352017918	215511.0	0.0499094326190541	0.0002923999999999982	0.00012826738094589424
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	1	0	10000000	POP1	0.0458706	0.0462339	224679.0	226469.0	1790.0	0.045870672271084	224678.0	0.04599928916980661	0.0003633000000000039	0.0002346108301933894
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep3	1	0	10000000	POP1	0.0468586	0.0471736	221764.0	223460.0	1696.0	0.0468585241199934	221763.0	0.04699578501136162	0.0003150000000000028	0.0001778149886383848
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep45	1	0	10000000	POP1	0.0482179	0.0485661	214883.0	216460.0	1577.0	0.0482178975647773	214883.0	0.04836737329643336	0.0003481999999999999	0.00019872670356663874
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep46	1	0	10000000	POP1	0.0477413	0.0481095	217089.0	218790.0	1701.0	0.0477412857977238	217088.0	0.04788638464744758	0.0003681999999999991	0.0002231153525524207
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep47	1	0	10000000	POP1	0.0466285	0.0469356	222712.0	224374.0	1662.0	0.0466285184588844	222712.0	0.0467636739706076	0.00030709999999999765	0.00017192602939240104
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep48	1	0	10000000	POP1	0.0478851	0.0482249	214147.0	215691.0	1544.0	0.0478850696955852	214147.0	0.04803149961436337	0.0003398000000000012	0.0001934003856366301
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep49	1	0	10000000	POP1	0.0472634	0.0476066	222864.0	224519.0	1655.0	0.0472634179224069	222864.0	0.047404171136790046	0.00034320000000000184	0.00020242886320995246
