chromosome	window_pos_1	window_pos_2	group	bial_pi	mult_pi	bial_sites	mult_sites	sites_gained_mult_vs_bial	pixy_pi	pixy_sites	expected_mult_pi	abs_diff_bial	abs_diff_expected
scaffold_1	1000000	1010000	Central Europe	0.0119945	0.0144546	7002.0	7100.0	98.0	0.0049012562186731	3981.0	0.011996800833451778	0.0024601	0.0024577991665482215
scaffold_1	1000000	1010000	East Siberia	0.0128019	0.013798	8050.0	8084.0	34.0	0.005154141348238	4076.0	0.012804697448035508	0.0009960999999999998	0.0009933025519644912
scaffold_1	1000000	1010000	Karelia	0.00640579	0.00645125	7652.0	7654.0	2.0	0.0039129247342886	3658.0	0.006406140474825408	4.546000000000064e-05	4.5109525174591956e-05
scaffold_1	1000000	1010000	MIX Amur Basin	0.0183056	0.0186893	7127.0	7132.0	5.0	0.0090698979636479	3306.0	0.01831377881983179	0.00038369999999999724	0.0003755211801682104
scaffold_1	1000000	1010000	MIX Central Siberia	0.011766	0.0120921	7649.0	7663.0	14.0	0.0032524470018445	3915.0	0.011768171827204129	0.0003260999999999993	0.00032392817279587073
scaffold_1	1000000	1010000	MIX Sibiryakov Island	0.00435463	0.00437418	6049.0	6050.0	1.0	0.0027354716631873	2486.0	0.0043547401013178345	1.9550000000000123e-05	1.9439898682165578e-05
scaffold_1	1000000	1010000	North America	0.00820328	0.00862665	8062.0	8078.0	16.0	0.0044869823672277	4001.0	0.008204016039875056	0.0004233699999999993	0.0004226339601249435
scaffold_1	1000000	1010000	Northern Ural	0.0108785	0.0115143	7370.0	7394.0	24.0	0.0037954417159372	3871.0	0.010880216507814181	0.0006358000000000006	0.0006340834921858187
scaffold_1	1000000	1010000	Scandinavia	0.00558009	0.0059753	7718.0	7735.0	17.0	0.0038213832245567	3756.0	0.005580321666025285	0.00039521	0.0003949783339747149
scaffold_1	1000000	1010000	Siberia SC	0.000870991	0.000870991	8621.0	8621.0	0.0	0.0001102489912217	4020.0	0.0008709918810077705	0.0	8.810077705345351e-10
scaffold_1	1000000	1010000	West Siberia	0.00347355	0.00357334	7617.0	7634.0	17.0	0.0025441339052996	3699.0	0.0034736058803864294	9.978999999999977e-05	9.973411961357054e-05
scaffold_1	1000000	1010000	admixed	0.0106024	0.0109172	7958.0	7965.0	7.0	0.0053999695949971	4027.0	0.010603989100233576	0.0003148000000000005	0.0003132108997664241
scaffold_1	1010000	1020000	Central Europe	0.0127622	0.0147854	6992.0	7107.0	115.0	0.0028738771835494	3708.0	0.012764971503143261	0.002023200000000001	0.0020204284968567392
scaffold_1	1010000	1020000	East Siberia	0.0109087	0.0120895	7653.0	7716.0	63.0	0.0054766762505506	3752.0	0.010910430843222296	0.0011807999999999992	0.0011790691567777033
scaffold_1	1010000	1020000	Karelia	0.00201967	0.00201967	8627.0	8627.0	0.0	0.0007136539032773	3752.0	0.002019680984492085	0.0	1.0984492085017172e-08
scaffold_1	1010000	1020000	MIX Amur Basin	0.0171479	0.0175231	7492.0	7499.0	7.0	0.0074003979230358	3298.0	0.01715462313084018	0.00037519999999999915	0.00036847686915982003
scaffold_1	1010000	1020000	MIX Central Siberia	0.0118161	0.0123261	7730.0	7747.0	17.0	0.0029826502875783	3661.0	0.011818299688629609	0.00051	0.0005078003113703905
scaffold_1	1010000	1020000	MIX Sibiryakov Island	0.00520448	0.00520448	8327.0	8327.0	0.0	0.0022525244387152	3632.0	0.0052046679623077175	0.0	1.879623077174694e-07
scaffold_1	1010000	1020000	North America	0.00288695	0.00298875	8115.0	8121.0	6.0	0.001067229116113	3704.0	0.0028869820816372124	0.00010179999999999998	0.00010176791836278773
