gene_lyrata	interval	gene_thaliana	common_name	piawka_fst	piawka_percentile	pixy_fst	pixy_percentile	piawka_minus_pixy_percentile
AL4G45640	scaffold_4:23850020-23855243	AT2G46340	SPA1	0.565213	98.322	0.584964	98.457	-0.135
AL8G42560	scaffold_8:20285363-20289046	AT5G65060	MAF3	0.563267	98.288	0.49149	96.758	+1.529
AL7G17410	scaffold_7:2998784-3000842	AT4G33980		0.561313	98.253	0.499838	96.966	+1.287
AL8G32370	scaffold_8:16310446-16311490	AT5G56550	OXS3	0.548137	98.056	0.00790215	8.708	+89.348
AL8G30400	scaffold_8:15493499-15495484	AT5G54930		0.527703	97.751	0.0846749	38.421	+59.330
AL8G13080	scaffold_8:1414182-1416198	AT5G45600	GAS41	0.471306	96.402	0.388539	92.891	+3.511
AL3G21720	scaffold_3:4155476-4158982	AT3G10390	FLD	0.468491	96.309	0.438656	95.094	+1.214
AL3G20880	scaffold_3:3848061-3850680	AT3G09670		0.443173	95.499	0.430838	94.773	+0.726
AL1G14010	scaffold_1:1490952-1493754	AT1G04400	CRY2	0.435272	95.260	0.445424	95.337	-0.076
AL6G20630	scaffold_6:3833150-3838763	AT5G10140	FLC	0.414775	94.416	0.59767	98.602	-4.186
AL233U10010	scaffold_8:20295294-20299224	AT5G65060	MAF3	0.410815	94.192	0.430223	94.745	-0.554
AL8G27130	scaffold_8:13758321-13761331	AT5G52660		0.400573	93.801	0.561511	98.121	-4.321
AL4G29210	scaffold_4:17362183-17367943	AT2G33540	CPL3	0.393386	93.420	0.456794	95.721	-2.301
AL3G15990	scaffold_3:2043156-2046892	AT3G05430		0.371164	92.119	0.377192	92.233	-0.114
AL7G15150	scaffold_7:2068960-2070726	AT4G35900	FD	0.370345	92.078	0.410284	93.915	-1.837
AL4G47270	scaffold_4:24491202-24493586	AT2G47700	RFI2	0.314554	87.542	0.268605	82.516	+5.027
AL7G42810	scaffold_7:14344457-14346248	AT4G13490		0.286061	84.304	0.25623	80.904	+3.401
AL3G35380	scaffold_3:9749193-9751660	AT3G21320		0.278744	83.343	0.12798	53.494	+29.848
AL6G46080	scaffold_6:22024776-22028576	AT4G11560		0.271707	82.440	0.25934	81.319	+1.121
AL6G49840	scaffold_6:24065148-24068389	AT4G03110	RBP-DR1	0.270299	82.204	0.00284041	6.708	+75.496
AL3G11680	scaffold_3:548462-550120	AT3G02380	COL2	0.262152	81.000	0.25513	80.720	+0.280
AL3G33680	scaffold_3:8999283-9003957	AT3G20020	PRMT6	0.243293	77.672	0.241801	78.849	-1.176
AL4G12880	scaffold_4:1607529-1610855	AT2G23070		0.239716	77.043	0.22147	75.528	+1.515
AL3G48730	scaffold_3:26649772-26653389	AT2G19520	FVE	0.232223	75.718	0.187022	68.975	+6.743
AL3G23760	scaffold_3:4938269-4940767	AT3G12130		0.226137	74.590	0.287999	84.858	-10.268
AL6G42940	scaffold_6:19788746-19791255	AT4G09180	FBH2	0.221742	73.742	0.30174	86.304	-12.561
AL6G26710	scaffold_6:6184152-6185928	AT5G15840	CO	0.214765	72.341	0.23174	77.264	-4.923
AL5G24560	scaffold_5:14767110-14769396	AT3G45880		0.20303	69.615	0.250404	80.039	-10.423
AL5G32350	scaffold_5:18144945-18146428	AT3G53310		0.19877	68.681	0.114251	48.869	+19.812
AL6G43550	scaffold_6:20359867-20361479	AT2G18000	TAF14	0.197707	68.384	0.152077	60.420	+7.964
AL5G11840	scaffold_5:846362-849254	AT2G02570		0.189594	66.228	0.133224	55.137	+11.091
AL3G34730	scaffold_3:9476508-9479310	AT3G20810	JMJD5	0.18294	64.347	0.142169	57.704	+6.642
AL7G41670	scaffold_7:13678261-13679734	AT4G14465	AHL20	0.180773	63.720	0.0774676	35.737	+27.984
AL1G30830	scaffold_1:7837467-7839822	AT1G77180	SKIP	0.17775	62.862	0.191603	69.892	-7.030
AL8G18050	scaffold_8:4625049-4626825	AT5G42900	COR27	0.176753	62.620	0.0394712	20.684	+41.936
AL3G51070	scaffold_3:25518085-25520241	AT2G18000	TAF14	0.171175	61.095	0.207066	73.040	-11.946
AL4G18010	scaffold_4:5897479-5901645	AT2G25930	ELF3	0.168316	60.264	0.113301	48.592	+11.672
AL5G26240	scaffold_5:15558397-15559783	AT3G47020		0.160141	57.787	0.128609	53.715	+4.072
AL3G53130	scaffold_3:26094227-26098781	AT2G18790	PHYB	0.155834	56.448	0.104973	45.710	+10.738
AL8G39620	scaffold_8:19188533-19191820	AT5G62640	ELF5	0.155364	56.269	0.119995	50.889	+5.380
AL5G27840	scaffold_5:16345181-16350655	AT3G48430	REF6	0.149492	54.487	0.11203	48.121	+6.365
AL2G37350	scaffold_2:19077538-19080095	AT1G77180	SKIP	0.147604	53.854	0.11693	49.813	+4.041
AL6G16880	scaffold_6:2555066-2557245	AT5G06770		0.147041	53.664	0.128399	53.632	+0.031
AL7G11040	scaffold_7:429950-430716	AT5G56550	OXS3	0.139636	51.083	0.185601	68.664	-17.581
AL7G11030	scaffold_7:427450-429612	AT4G39100	SHL1	0.139021	50.889	0.15418	61.012	-10.122
AL7G13060	scaffold_7:1191582-1196130	AT4G37900		0.137503	50.408	0.123613	52.034	-1.626
AL1G44510	scaffold_1:13803969-13806301	AT1G30480	DRT111	0.130119	47.800	0.137637	56.372	-8.573
AL7G12750	scaffold_7:1022285-1025358	AT4G37900		0.12866	47.260	0.0822701	37.539	+9.721
AL1G33640	scaffold_1:8827224-8831185	AT1G20670		0.122233	44.894	0.0541854	26.545	+18.349
AL8G32710	scaffold_8:16426686-16428777	AT5G56860	GNC	0.120878	44.382	-0.00937805	3.311	+41.071
AL6G43550	scaffold_6:20341326-20342383	AT2G18000	TAF14	0.120758	44.347	0.113981	48.793	-4.445
AL1G12960	scaffold_1:1070213-1073786	AT1G03457		0.116691	42.745	0.166742	64.239	-21.494
AL7G49610	scaffold_7:24781415-24785026	AT5G40340		0.112572	41.151	0.111247	47.893	-6.743
AL3G12330	scaffold_3:737227-742831	AT3G02890		0.112018	40.867	0.111596	48.014	-7.147
AL7G31550	scaffold_7:8790557-8793313	AT4G22140	EBS	0.111116	40.552	0.0945566	42.067	-1.515
AL4G40640	scaffold_4:21919313-21921691	AT2G42280	FBH4	0.110184	40.199	0.0170024	12.011	+28.188
AL5G27830	scaffold_5:16339214-16344736	AT3G48430	REF6	0.108787	39.673	0.119056	50.543	-10.870
AL6G13860	scaffold_6:1411271-1416993	AT5G04240	ELF6	0.101289	36.605	0.116403	49.606	-13.001
AL7G13060	scaffold_7:1189960-1191581	AT4G37900		0.101037	36.508	0.145426	58.607	-22.099
AL8G30520	scaffold_8:15523049-15527532	AT5G55040		0.100842	36.428	0.0540934	26.503	+9.925
AL6G39380	scaffold_6:12446333-12450348	AT5G27650		0.0971543	35.041	0.11034	47.599	-12.558
AL5G25380	scaffold_5:15250559-15253674	AT3G46510	PUB13	0.0966979	34.830	0.0716777	33.581	+1.249
AL1G46140	scaffold_1:14939820-14941651	AT1G32070	NSI	0.0886436	31.613	0.163122	63.343	-31.730
AL6G10900	scaffold_6:323301-327823	AT5G01270	CPL2	0.0877138	31.208	0.0581924	28.167	+3.041
AL8G42020	scaffold_8:20105273-20107723	AT5G64610	HAM1	0.0819641	28.907	0.0699066	32.772	-3.864
AL7G32650	scaffold_7:9271842-9276626	AT4G21430	B160	0.0694382	23.864	0.0326468	18.024	+5.840
AL1G39510	scaffold_1:11446778-11447611	AT1G26220		0.0669335	22.985	0.109362	47.239	-24.254
AL4G11870	scaffold_4:1022160-1023577	AT2G22370		0.0660542	22.642	0.0367128	19.563	+3.079
AL6G27680	scaffold_6:6507369-6513755	AT5G16680		0.0641239	21.926	0.0473389	23.815	-1.889
AL6G12110	scaffold_6:771167-774537	AT5G02840	LCL1	0.0616223	20.930	0.067537	31.896	-10.967
AL6G34840	scaffold_6:9688800-9691836	AT5G23570	SGS3	0.0577142	19.307	0.0502871	25.043	-5.736
AL6G19930	scaffold_6:3554105-3555609	AT5G09530	PELPK1	0.0558723	18.494	0.00505006	7.663	+10.832
AL1G36320	scaffold_1:10065396-10071867	AT1G22770	GI	0.0541823	17.872	0.0785007	36.159	-18.287
AL6G26730	scaffold_6:6189015-6190598	AT5G15850	COL1	0.0517969	16.924	0.0647392	30.789	-13.866
AL9U10040	scaffold_7:14744666-14745856	AT4G13490		0.0514013	16.799	0.0833969	37.985	-21.186
AL2G29450	scaffold_2:15866038-15867535	AT1G70170	MMP	0.0507701	16.578	0.0165713	11.821	+4.757
AL3G20820	scaffold_3:3829190-3831810	AT3G09600	RVE8	0.0465669	15.056	0.0599893	28.925	-13.869
AL2G36480	scaffold_2:18659671-18663256	AT1G76380		0.0446997	14.350	0.0492029	24.569	-10.219
AL1G50310	scaffold_1:17903269-17905521	AT1G35460	FBH1	0.0403591	12.921	0.0230313	14.225	-1.304
AL1G58950	scaffold_1:25745967-25748000	AT1G51140	FBH3	0.0277386	8.932	0.0100582	9.524	-0.592
AL7G26820	scaffold_7:6759878-6761715	AT4G26150	CGA1	0.0219348	7.296	0.000792256	5.805	+1.491
AL9U10030	scaffold_7:14722824-14724246	AT4G13490		0.0148414	5.494	0.00472536	7.524	-2.031
AL5G34220	scaffold_5:18810913-18812728	AT3G53310		-0.0259885	0.308	-0.034855	0.363	-0.055
