chromosome	window_pos_1	window_pos_2	group	piawka_pi	pixy_pi
scaffold_1	1000000	1010000	Central Europe	0.0119945	0.0049012562186731
scaffold_1	1000000	1010000	East Siberia	0.0128019	0.005154141348238
scaffold_1	1000000	1010000	Karelia	0.00640579	0.0039129247342886
scaffold_1	1000000	1010000	MIX Amur Basin	0.0183056	0.0090698979636479
scaffold_1	1000000	1010000	MIX Central Siberia	0.011766	0.0032524470018445
scaffold_1	1000000	1010000	MIX Sibiryakov Island	0.00435463	0.0027354716631873
scaffold_1	1000000	1010000	North America	0.00820328	0.0044869823672277
scaffold_1	1000000	1010000	Northern Ural	0.0108785	0.0037954417159372
scaffold_1	1000000	1010000	Scandinavia	0.00558009	0.0038213832245567
scaffold_1	1000000	1010000	Siberia SC	0.000870991	0.0001102489912217
scaffold_1	1000000	1010000	West Siberia	0.00347355	0.0025441339052996
scaffold_1	1000000	1010000	admixed	0.0106024	0.0053999695949971
scaffold_1	1010000	1020000	Central Europe	0.0127622	0.0028738771835494
scaffold_1	1010000	1020000	East Siberia	0.0109087	0.0054766762505506
scaffold_1	1010000	1020000	Karelia	0.00201967	0.0007136539032773
scaffold_1	1010000	1020000	MIX Amur Basin	0.0171479	0.0074003979230358
scaffold_1	1010000	1020000	MIX Central Siberia	0.0118161	0.0029826502875783
scaffold_1	1010000	1020000	MIX Sibiryakov Island	0.00520448	0.0022525244387152
scaffold_1	1010000	1020000	North America	0.00288695	0.001067229116113
scaffold_1	1010000	1020000	Northern Ural	0.0090114	0.0022954698744609
scaffold_1	1010000	1020000	Scandinavia	0.00667589	0.0026971294961153
scaffold_1	1010000	1020000	Siberia SC	0.000665356	0.0001144426642252
scaffold_1	1010000	1020000	West Siberia	0.00936142	0.0047839148826924
scaffold_1	1010000	1020000	admixed	0.0107825	0.004982203409452
scaffold_1	1020000	1030000	Central Europe	0.0129255	0.0055338734673539
scaffold_1	1020000	1030000	East Siberia	0.00480858	0.002603785462154
scaffold_1	1020000	1030000	Karelia	0.00298439	0.0019713206698657
scaffold_1	1020000	1030000	MIX Amur Basin	0.00447538	0.0022210912563773
scaffold_1	1020000	1030000	MIX Central Siberia	0.007328	0.0017177247777218
scaffold_1	1020000	1030000	MIX Sibiryakov Island	0.0038177	0.0025640448426455
scaffold_1	1020000	1030000	North America	0.00653928	0.0039868505612226
scaffold_1	1020000	1030000	Northern Ural	0.00666981	0.0018857168195418
scaffold_1	1020000	1030000	Scandinavia	0.00619114	0.0036271268806243
