chromosome	window_pos_1	window_pos_2	group	pixy_pi	piawka_pi	pi_gain_piawka_vs_pixy	pixy_sites	piawka_sites	sites_gained_piawka_vs_pixy	sites_gained_pct_vs_pixy
scaffold_1	1000000	1010000	Central Europe	0.0049012562186731	0.0119945	0.0070932437813269	3981.0	7002.0	3021.0	75.8854559155991
scaffold_1	1000000	1010000	East Siberia	0.005154141348238	0.0128019	0.0076477586517619996	4076.0	8050.0	3974.0	97.49754661432777
scaffold_1	1000000	1010000	Karelia	0.0039129247342886	0.00640579	0.0024928652657113994	3658.0	7652.0	3994.0	109.1853471842537
scaffold_1	1000000	1010000	MIX Amur Basin	0.0090698979636479	0.0183056	0.009235702036352102	3306.0	7127.0	3821.0	115.57773744706594
scaffold_1	1000000	1010000	MIX Central Siberia	0.0032524470018445	0.011766	0.0085135529981555	3915.0	7649.0	3734.0	95.37675606641123
scaffold_1	1000000	1010000	MIX Sibiryakov Island	0.0027354716631873	0.00435463	0.0016191583368127	2486.0	6049.0	3563.0	143.32260659694288
scaffold_1	1000000	1010000	North America	0.0044869823672277	0.00820328	0.0037162976327723	4001.0	8062.0	4061.0	101.49962509372656
scaffold_1	1000000	1010000	Northern Ural	0.0037954417159372	0.0108785	0.007083058284062799	3871.0	7370.0	3499.0	90.39008008266597
scaffold_1	1000000	1010000	Scandinavia	0.0038213832245567	0.00558009	0.0017587067754433004	3756.0	7718.0	3962.0	105.48455804046858
scaffold_1	1000000	1010000	Siberia SC	0.0001102489912217	0.000870991	0.0007607420087783	4020.0	8621.0	4601.0	114.45273631840796
scaffold_1	1000000	1010000	West Siberia	0.0025441339052996	0.00347355	0.0009294160947004	3699.0	7617.0	3918.0	105.92051905920519
scaffold_1	1000000	1010000	admixed	0.0053999695949971	0.0106024	0.005202430405002899	4027.0	7958.0	3931.0	97.61609138316365
scaffold_1	1010000	1020000	Central Europe	0.0028738771835494	0.0127622	0.0098883228164506	3708.0	6992.0	3284.0	88.56526429341963
scaffold_1	1010000	1020000	East Siberia	0.0054766762505506	0.0109087	0.0054320237494494	3752.0	7653.0	3901.0	103.97121535181238
scaffold_1	1010000	1020000	Karelia	0.0007136539032773	0.00201967	0.0013060160967226998	3752.0	8627.0	4875.0	129.93070362473347
scaffold_1	1010000	1020000	MIX Amur Basin	0.0074003979230358	0.0171479	0.0097475020769642	3298.0	7492.0	4194.0	127.16798059429956
scaffold_1	1010000	1020000	MIX Central Siberia	0.0029826502875783	0.0118161	0.0088334497124217	3661.0	7730.0	4069.0	111.14449603933352
scaffold_1	1010000	1020000	MIX Sibiryakov Island	0.0022525244387152	0.00520448	0.0029519555612848	3632.0	8327.0	4695.0	129.26762114537445
scaffold_1	1010000	1020000	North America	0.001067229116113	0.00288695	0.0018197208838870002	3704.0	8115.0	4411.0	119.08747300215983
scaffold_1	1010000	1020000	Northern Ural	0.0022954698744609	0.0090114	0.006715930125539099	3636.0	7605.0	3969.0	109.15841584158417
scaffold_1	1010000	1020000	Scandinavia	0.0026971294961153	0.00667589	0.003978760503884701	3704.0	8147.0	4443.0	119.951403887689
scaffold_1	1010000	1020000	Siberia SC	0.0001144426642252	0.000665356	0.0005509133357748	3648.0	8471.0	4823.0	132.2094298245614
scaffold_1	1010000	1020000	West Siberia	0.0047839148826924	0.00936142	0.0045775051173076	3743.0	8196.0	4453.0	118.96874165108203
scaffold_1	1010000	1020000	admixed	0.004982203409452	0.0107825	0.005800296590548	3660.0	8083.0	4423.0	120.84699453551913
scaffold_1	1020000	1030000	Central Europe	0.0055338734673539	0.0129255	0.007391626532646099	5399.0	7848.0	2449.0	45.36025189849972
scaffold_1	1020000	1030000	East Siberia	0.002603785462154	0.00480858	0.002204794537846	5435.0	8827.0	3392.0	62.41030358785649
scaffold_1	1020000	1030000	Karelia	0.0019713206698657	0.00298439	0.0010130693301342998	5435.0	9276.0	3841.0	70.67157313707452
scaffold_1	1020000	1030000	MIX Amur Basin	0.0022210912563773	0.00447538	0.0022542887436227	4898.0	8437.0	3539.0	72.25398121682319
scaffold_1	1020000	1030000	MIX Central Siberia	0.0017177247777218	0.007328	0.005610275222278201	5365.0	8574.0	3209.0	59.81360671015843
scaffold_1	1020000	1030000	MIX Sibiryakov Island	0.0025640448426455	0.0038177	0.0012536551573544999	5350.0	9057.0	3707.0	69.28971962616822
scaffold_1	1020000	1030000	North America	0.0039868505612226	0.00653928	0.0025524294387774	5396.0	8957.0	3561.0	65.99332839140104
scaffold_1	1020000	1030000	Northern Ural	0.0018857168195418	0.00666981	0.0047840931804582	5353.0	8485.0	3132.0	58.509247151130204
scaffold_1	1020000	1030000	Scandinavia	0.0036271268806243	0.00619114	0.0025640131193757003	5396.0	8977.0	3581.0	66.36397331356561
scaffold_1	1020000	1030000	Siberia SC	0.0001251622394096	0.00028364	0.00015847776059039998	5340.0	9159.0	3819.0	71.51685393258427
scaffold_1	1020000	1030000	West Siberia	0.0023919357445488	0.00362779	0.0012358542554512	5429.0	9159.0	3730.0	68.70510222877141
scaffold_1	1020000	1030000	admixed	0.0033059870486813	0.00550801	0.0022020229513186997	5361.0	8958.0	3597.0	67.09569110240626
scaffold_1	1030000	1040000	Central Europe	0.0041951279910916	0.0128017	0.008606572008908398	4981.0	7937.0	2956.0	59.34551294920699
scaffold_1	1030000	1040000	East Siberia	0.0028426337913035	0.00593393	0.0030912962086964996	5019.0	8762.0	3743.0	74.57660888623232
scaffold_1	1030000	1040000	Karelia	0.0038619798518575	0.00799058	0.0041286001481425005	5018.0	8983.0	3965.0	79.01554404145078
scaffold_1	1030000	1040000	MIX Amur Basin	0.0012350539336501	0.00158976	0.00035470606634989995	4506.0	8289.0	3783.0	83.95472703062583
scaffold_1	1030000	1040000	MIX Central Siberia	0.0025179975811209	0.00602522	0.0035072224188791	4950.0	8595.0	3645.0	73.63636363636363
scaffold_1	1030000	1040000	MIX Sibiryakov Island	0.0026021407962501	0.00446307	0.0018609292037499005	4914.0	8900.0	3986.0	81.11518111518112
scaffold_1	1030000	1040000	North America	0.003021042795716	0.00622119	0.003200147204284	4975.0	8561.0	3586.0	72.08040201005025
scaffold_1	1030000	1040000	Northern Ural	0.0020467978634822	0.00733894	0.0052921421365178	4925.0	8472.0	3547.0	72.02030456852792
scaffold_1	1030000	1040000	Scandinavia	0.0032174435269873	0.0075262	0.004308756473012701	4975.0	8867.0	3892.0	78.23115577889446
scaffold_1	1030000	1040000	Siberia SC	5.600002986668259e-05	0.000302668	0.00024666797013331743	4923.0	9003.0	4080.0	82.87629494210847
