gene_lyrata	interval	gene_thaliana	common_name	piawka_fst	piawka_percentile	pixy_fst	pixy_percentile	piawka_minus_pixy_percentile
AL6G33250	scaffold_6:8863306-8865104	AT5G03390	ATDOA11	0.718257	99.519	0.677092	99.222	+0.298
AL4G34590	scaffold_4:19496882-19500410	AT2G37670		0.698817	99.450	0.601319	98.644	+0.806
AL2G27330	scaffold_2:14742121-14744086	AT1G68470	XAPT1	0.678417	99.343	0.686331	99.287	+0.055
AL2G22180	scaffold_2:11231771-11234255	AT1G65480	FT	0.656485	99.187	0.666481	99.149	+0.038
AL7G12020	scaffold_7:752180-754882	AT4G39800	ATIPS1	0.640308	99.056	0.656989	99.083	-0.028
AL2G24010	scaffold_2:12424314-12427385	AT1G66280	BGLU22	0.497108	97.104	0.476803	96.333	+0.771
AL6G45710	scaffold_6:21836479-21841701	AT4G11310	ATCP1	0.467696	96.302	0.485802	96.624	-0.322
AL2G23990	scaffold_2:12414774-12417784	AT1G66250		0.465107	96.215	0.404041	93.624	+2.591
AL8G26010	scaffold_8:13180861-13183159	AT5G51740	OMA1	0.426294	94.870	0.378169	92.296	+2.574
AL1G43750	scaffold_1:13325955-13330092	AT1G29900	CARB	0.387293	93.071	0.378065	92.285	+0.785
AL1G24992	scaffold_1:5602869-5604160	AT1G13280	AOC4	0.382437	92.787	0.427464	94.641	-1.854
AL1G43760	scaffold_1:13330106-13331183	AT1G29910	AB180	0.361087	91.393	0.356949	90.874	+0.519
AL1G43740	scaffold_1:13321346-13325356	AT1G29890	RWA4	0.352268	90.822	0.309168	87.068	+3.754
AL1G27220	scaffold_1:6552676-6555190	AT1G15160	DTX11	0.341933	90.012	0.491764	96.772	-6.760
AL2G41280	scaffold_2:20612086-20613766	AT1G80230		0.333867	89.327	0.296735	85.792	+3.536
AL3G16890	scaffold_3:2393379-2394998	AT3G06050	ATPRXIIF	0.315069	87.594	0.547134	97.914	-10.320
AL4G32530	scaffold_4:18710226-18715576	AT2G36370		0.288498	84.650	0.28503	84.553	+0.097
AL4G46250	scaffold_4:24110466-24112914	AT2G46780		0.136452	50.073	0.161449	62.849	-12.776
AL3G11530	scaffold_3:483339-501035	AT3G02260	ASA1	0.0913921	32.748	0.0827585	37.708	-4.961
AL1G43730	scaffold_1:13317437-13320752	AT1G29880		-0.00582834	1.667	-0.00502785	4.176	-2.508
