chromosome	window_pos_1	window_pos_2	group	piawka_lines	pixy_no_sites	sites_gained_piawka_vs_pixy
scaffold_1	1000000	1010000	Central Europe	7002.0	3981.0	3021.0
scaffold_1	1000000	1010000	East Siberia	8050.0	4076.0	3974.0
scaffold_1	1000000	1010000	Karelia	7652.0	3658.0	3994.0
scaffold_1	1000000	1010000	MIX Amur Basin	7127.0	3306.0	3821.0
scaffold_1	1000000	1010000	MIX Central Siberia	7649.0	3915.0	3734.0
scaffold_1	1000000	1010000	MIX Sibiryakov Island	6049.0	2486.0	3563.0
scaffold_1	1000000	1010000	North America	8062.0	4001.0	4061.0
scaffold_1	1000000	1010000	Northern Ural	7370.0	3871.0	3499.0
scaffold_1	1000000	1010000	Scandinavia	7718.0	3756.0	3962.0
scaffold_1	1000000	1010000	Siberia SC	8621.0	4020.0	4601.0
scaffold_1	1000000	1010000	West Siberia	7617.0	3699.0	3918.0
scaffold_1	1000000	1010000	admixed	7958.0	4027.0	3931.0
scaffold_1	1010000	1020000	Central Europe	6992.0	3708.0	3284.0
scaffold_1	1010000	1020000	East Siberia	7653.0	3752.0	3901.0
scaffold_1	1010000	1020000	Karelia	8627.0	3752.0	4875.0
scaffold_1	1010000	1020000	MIX Amur Basin	7492.0	3298.0	4194.0
scaffold_1	1010000	1020000	MIX Central Siberia	7730.0	3661.0	4069.0
scaffold_1	1010000	1020000	MIX Sibiryakov Island	8327.0	3632.0	4695.0
scaffold_1	1010000	1020000	North America	8115.0	3704.0	4411.0
scaffold_1	1010000	1020000	Northern Ural	7605.0	3636.0	3969.0
scaffold_1	1010000	1020000	Scandinavia	8147.0	3704.0	4443.0
scaffold_1	1010000	1020000	Siberia SC	8471.0	3648.0	4823.0
scaffold_1	1010000	1020000	West Siberia	8196.0	3743.0	4453.0
scaffold_1	1010000	1020000	admixed	8083.0	3660.0	4423.0
scaffold_1	1020000	1030000	Central Europe	7848.0	5399.0	2449.0
scaffold_1	1020000	1030000	East Siberia	8827.0	5435.0	3392.0
scaffold_1	1020000	1030000	Karelia	9276.0	5435.0	3841.0
scaffold_1	1020000	1030000	MIX Amur Basin	8437.0	4898.0	3539.0
scaffold_1	1020000	1030000	MIX Central Siberia	8574.0	5365.0	3209.0
scaffold_1	1020000	1030000	MIX Sibiryakov Island	9057.0	5350.0	3707.0
scaffold_1	1020000	1030000	North America	8957.0	5396.0	3561.0
scaffold_1	1020000	1030000	Northern Ural	8485.0	5353.0	3132.0
scaffold_1	1020000	1030000	Scandinavia	8977.0	5396.0	3581.0
scaffold_1	1020000	1030000	Siberia SC	9159.0	5340.0	3819.0
scaffold_1	1020000	1030000	West Siberia	9159.0	5429.0	3730.0
scaffold_1	1020000	1030000	admixed	8958.0	5361.0	3597.0
scaffold_1	1030000	1040000	Central Europe	7937.0	4981.0	2956.0
scaffold_1	1030000	1040000	East Siberia	8762.0	5019.0	3743.0
scaffold_1	1030000	1040000	Karelia	8983.0	5018.0	3965.0
scaffold_1	1030000	1040000	MIX Amur Basin	8289.0	4506.0	3783.0
scaffold_1	1030000	1040000	MIX Central Siberia	8595.0	4950.0	3645.0
scaffold_1	1030000	1040000	MIX Sibiryakov Island	8900.0	4914.0	3986.0
scaffold_1	1030000	1040000	North America	8561.0	4975.0	3586.0
scaffold_1	1030000	1040000	Northern Ural	8472.0	4925.0	3547.0
scaffold_1	1030000	1040000	Scandinavia	8867.0	4975.0	3892.0
scaffold_1	1030000	1040000	Siberia SC	9003.0	4923.0	4080.0
scaffold_1	1030000	1040000	West Siberia	8945.0	5009.0	3936.0
scaffold_1	1030000	1040000	admixed	8923.0	4948.0	3975.0
scaffold_1	1040000	1050000	Central Europe	8202.0	5433.0	2769.0
scaffold_1	1040000	1050000	East Siberia	9010.0	5468.0	3542.0
scaffold_1	1040000	1050000	Karelia	9198.0	5467.0	3731.0
scaffold_1	1040000	1050000	MIX Amur Basin	8298.0	4894.0	3404.0
scaffold_1	1040000	1050000	MIX Central Siberia	8933.0	5404.0	3529.0
scaffold_1	1040000	1050000	MIX Sibiryakov Island	9019.0	5386.0	3633.0
scaffold_1	1040000	1050000	North America	8899.0	5424.0	3475.0
scaffold_1	1040000	1050000	Northern Ural	8632.0	5386.0	3246.0
scaffold_1	1040000	1050000	Scandinavia	8899.0	5424.0	3475.0
scaffold_1	1040000	1050000	Siberia SC	9136.0	5386.0	3750.0
scaffold_1	1040000	1050000	West Siberia	8876.0	5461.0	3415.0
scaffold_1	1040000	1050000	admixed	8978.0	5401.0	3577.0
scaffold_1	1050000	1060000	Central Europe	6944.0	4103.0	2841.0
scaffold_1	1050000	1060000	East Siberia	8356.0	4153.0	4203.0
scaffold_1	1050000	1060000	Karelia	8572.0	4144.0	4428.0
scaffold_1	1050000	1060000	MIX Amur Basin	7602.0	3673.0	3929.0
scaffold_1	1050000	1060000	MIX Central Siberia	8044.0	4080.0	3964.0
scaffold_1	1050000	1060000	MIX Sibiryakov Island	8384.0	4043.0	4341.0
scaffold_1	1050000	1060000	North America	8111.0	4096.0	4015.0
scaffold_1	1050000	1060000	Northern Ural	7733.0	4044.0	3689.0
scaffold_1	1050000	1060000	Scandinavia	8108.0	4097.0	4011.0
scaffold_1	1050000	1060000	Siberia SC	8588.0	4064.0	4524.0
scaffold_1	1050000	1060000	West Siberia	8420.0	4143.0	4277.0
scaffold_1	1050000	1060000	admixed	8296.0	4071.0	4225.0
scaffold_1	1060000	1070000	Central Europe	7046.0	4376.0	2670.0
scaffold_1	1060000	1070000	East Siberia	8632.0	4410.0	4222.0
scaffold_1	1060000	1070000	Karelia	9009.0	4408.0	4601.0
scaffold_1	1060000	1070000	MIX Amur Basin	8156.0	3915.0	4241.0
scaffold_1	1060000	1070000	MIX Central Siberia	8425.0	4349.0	4076.0
scaffold_1	1060000	1070000	MIX Sibiryakov Island	8695.0	4299.0	4396.0
scaffold_1	1060000	1070000	North America	8306.0	4364.0	3942.0
scaffold_1	1060000	1070000	Northern Ural	8283.0	4309.0	3974.0
scaffold_1	1060000	1070000	Scandinavia	8468.0	4364.0	4104.0
scaffold_1	1060000	1070000	Siberia SC	8897.0	4332.0	4565.0
scaffold_1	1060000	1070000	West Siberia	8661.0	4403.0	4258.0
scaffold_1	1060000	1070000	admixed	8647.0	4346.0	4301.0
scaffold_1	1070000	1080000	Central Europe	6204.0	3076.0	3128.0
scaffold_1	1070000	1080000	East Siberia	7753.0	3127.0	4626.0
scaffold_1	1070000	1080000	Karelia	8329.0	3114.0	5215.0
scaffold_1	1070000	1080000	MIX Amur Basin	7443.0	2700.0	4743.0
scaffold_1	1070000	1080000	MIX Central Siberia	7600.0	3045.0	4555.0
scaffold_1	1070000	1080000	MIX Sibiryakov Island	8086.0	2961.0	5125.0
scaffold_1	1070000	1080000	North America	7447.0	3080.0	4367.0
scaffold_1	1070000	1080000	Northern Ural	7264.0	3004.0	4260.0
scaffold_1	1070000	1080000	Scandinavia	7787.0	3068.0	4719.0
scaffold_1	1070000	1080000	Siberia SC	8363.0	3054.0	5309.0
scaffold_1	1070000	1080000	West Siberia	7794.0	3107.0	4687.0
scaffold_1	1070000	1080000	admixed	7941.0	3048.0	4893.0
scaffold_1	1080000	1090000	Central Europe	7193.0	4412.0	2781.0
scaffold_1	1080000	1090000	East Siberia	8414.0	4427.0	3987.0
scaffold_1	1080000	1090000	Karelia	8386.0	4186.0	4200.0
scaffold_1	1080000	1090000	MIX Amur Basin	7826.0	3952.0	3874.0
scaffold_1	1080000	1090000	MIX Central Siberia	8155.0	4387.0	3768.0
scaffold_1	1080000	1090000	MIX Sibiryakov Island	8439.0	4239.0	4200.0
scaffold_1	1080000	1090000	North America	8274.0	4400.0	3874.0
scaffold_1	1080000	1090000	Northern Ural	7781.0	4348.0	3433.0
scaffold_1	1080000	1090000	Scandinavia	8025.0	4277.0	3748.0
scaffold_1	1080000	1090000	Siberia SC	8411.0	4062.0	4349.0
scaffold_1	1080000	1090000	West Siberia	8412.0	4394.0	4018.0
scaffold_1	1080000	1090000	admixed	8360.0	4243.0	4117.0
scaffold_1	1090000	1100000	Central Europe	7835.0	4954.0	2881.0
scaffold_1	1090000	1100000	East Siberia	8740.0	4983.0	3757.0
scaffold_1	1090000	1100000	Karelia	9002.0	4982.0	4020.0
scaffold_1	1090000	1100000	MIX Amur Basin	8124.0	4489.0	3635.0
scaffold_1	1090000	1100000	MIX Central Siberia	8537.0	4930.0	3607.0
scaffold_1	1090000	1100000	MIX Sibiryakov Island	8820.0	4893.0	3927.0
scaffold_1	1090000	1100000	North America	8442.0	4951.0	3491.0
scaffold_1	1090000	1100000	Northern Ural	8475.0	4913.0	3562.0
scaffold_1	1090000	1100000	Scandinavia	8686.0	4951.0	3735.0
scaffold_1	1090000	1100000	Siberia SC	9023.0	4910.0	4113.0
scaffold_1	1090000	1100000	West Siberia	8835.0	4979.0	3856.0
scaffold_1	1090000	1100000	admixed	8774.0	4928.0	3846.0
scaffold_1	1100000	1110000	Central Europe	6817.0	4114.0	2703.0
scaffold_1	1100000	1110000	East Siberia	8411.0	4125.0	4286.0
